id;dong_cd;zip_no;addr;detail_addr;region_key;sub_node_cd;nsc_sub_node_cd
1;International Supervisor;Rubber Optimized;silver SMTP;Games Games;Berkshire deposit Baby;Dynamic Berkshire Global;primary AI
2;program Soap;user-centric Pennsylvania;calculating;engineer;copying South synergize;Account Central;Bedfordshire
3;e-business;wireless Steel;e-business;orchid;sexy Buckinghamshire;Baby Dynamic Supervisor;USB logistical model
4;Customer Saint benchmark;Pizza;Fall Multi-tiered;violet;Rubber;connect Soft card;executive Practical Lead
5;Mississippi;withdrawal Human e-business;Account;port architecture;Infrastructure mission-critical Borders;Tasty;Tajikistan Avon
6;full-range Solutions Automated;Peso bandwidth wireless;Global;Missouri Graphical;alarm lavender lime;optimize primary Loan;multi-byte Kentucky
7;Down-sized haptic Sleek;Massachusetts Refined hub;Planner info-mediaries;Savings mission-critical Wisconsin;Branding implement system;Legacy Borders;Euro
8;bluetooth;Cambridgeshire online Clothing;Vermont;bypassing Rubber local;JSON;payment Unbranded Cotton;Ergonomic
9;blockchains;Bacon Account;COM Electronics;Guinea Card Personal;front-end;extend;Springs
10;Cambridgeshire;withdrawal connecting;quantify hack;Utah Michigan transmitter;recontextualize Metal;web-enabled channels;Fresh
