id;sub_node_cd;sub_node_name;sub_node_ip_1;sub_node_ip_2;stb_play_ip_1;stb_play_ip_2;service_yn;use_yn;storage_size;sub_node_port_1;sub_node_port_2;stb_play_ip_3;node_prior;node_level;initial_yn;cdn_policy;cdn_local_typ;cdn_near_typ;cdn_center_typ;exception_flag;node_trans_yn;cm_node_yn;time_node_yn;node_group;ipv_6_flag_1;ipv_6_flag_2;ipv_6_flag_3;ipv_6_play_ip_1;ipv_6_play_ip_2;ipv_6_play_ip_3;chnl_service_yn
1;e-enable;payment navigating Home;Cotton Account back;web-readiness Concrete invoice;open-source;and Dynamic;Tasty Associate;generate lavender maroon;30421;Technician leverage Salad;invoice Toys;Sports Chief Terrace;Pike;infomediaries wireless Station;moderator;Intelligent;recontextualize;invoice pixel orchestrate;Keyboard black;Pants Frozen;payment Wisconsin e-enable;Open-architected salmon;Product Soap gold;gold Chair;salmon Wooden;Developer Sausages;wireless;Open-source Concrete;strategic;Borders Handmade;Beauty Internal
2;standardization withdrawal Cedi;Fiji Future Unbranded;Somoni Up-sized;Krona New Diverse;Handcrafted;Metical;white leading-edge matrix;Buckinghamshire Unbranded;82201;Sausages 1080p Uganda;Incredible Sausages New;Personal;maximize Dollar Keyboard;invoice SSL auxiliary;red integrate;Ohio Refined;Borders;harness Maryland;hard;Architect;Avon Intelligent Rubber;Table;Kids Dynamic;Granite;Handmade radical black;Rubber;robust Nebraska Soft;Forges Applications adapter;Jewelery;innovative Sudan;SQL
3;Tuna real-time;Minnesota e-tailers;silver Market;Analyst frame;Tactics Unbranded;Spring;protocol Gold;content-based Plastic;8202;wireless Keyboard Savings;portals;connecting software;withdrawal gold Nevada;human-resource Dynamic;Kenya;tan Liaison;clicks-and-mortar SCSI;Home Credit Soft;Unbranded;Specialist;brand matrix;contingency matrix Account;Spurs Regional blockchains;Grocery Robust contingency;Small Concrete;Small microchip;transparent;Baby GB;Identity Ville;European Fresh;firewall
4;Steel Plaza;HDD;CSS Wallis deposit;hacking;Chief system;engineer application;Soft Licensed SMTP;Louisiana Future Metal;59349;Utah B2B Music;Sausages innovate Convertible;GB web-enabled Avon;Dynamic Finland Small;Sterling Gloves syndicate;Intranet;deposit;Central Loan programming;bypassing archive Handcrafted;Account Buckinghamshire IB;info-mediaries;PCI transitional overriding;transmit niches Sausages;up;convergence compress object-oriented;monetize;Berkshire extend bypass;synergy web-enabled connecting;Card JBOD Infrastructure;Mississippi red Nebraska;Manager Metal;distributed
5;digital bandwidth;synthesize maroon;bricks-and-clicks;hacking Island AGP;purple Unit Avon;invoice Cambridgeshire local;transmitting back;override;53260;bluetooth Account Baby;Philippines Salad Steel;parse;withdrawal;SQL bypassing didactic;holistic pricing Soap;Central Chief;migration online Handmade;program supply-chains;Strategist infomediaries Buckinghamshire;Zloty Handcrafted program;Metrics Louisiana;parsing Organized;Jewelery;Rubber;Maryland invoice bottom-line;Designer;matrix Franc Identity;COM Dollar Germany;24;Hat;of Shoes
6;olive Marketing Dale;infrastructures Bolivar;Group;Health Tuna;deposit Soft;deposit;red Card Cotton;mint COM;46880;Coordinator;Associate bleeding-edge;blue systems;bandwidth Account;matrix cross-platform Drives;Gorgeous object-oriented;Cotton Spur SCSI;proactive Visionary synthesizing;Crossing Bedfordshire;convergence killer;Small;RSS array Money;Mouse;Rubber JBOD;deposit Ergonomic Soap;circuit;primary SCSI Malagasy;green Spurs Unbranded;deposit;Intelligent;Concrete;Mayotte
7;matrix Unbranded scalable;Towels value-added Supervisor;relationships;Granite virtual clicks-and-mortar;concept Roads;program;Rhode neural Account;Lithuania pink Tennessee;67345;International bluetooth;USB program Vision-oriented;Freeway Implementation;Pound Networked;auxiliary Configuration Bacon;interface;frame;local;Pound leading;Functionality;Avon Well circuit;calculating Rupee;methodical Response;Granite;Rue Delaware;models;online;front-end;Dakota;viral Islands;attitude transmit;Quality Won
8;Wall Ecuador;Computer Tactics;B2C;Assistant Rubber Slovenia;Garden Tunnel Chief;back-end;Books compress;circuit Tactics;69657;facilitate Andorra;Rubber;Fresh Seychelles;USB synergize COM;PCI grey Optional;program;Universal;harness;Montana;salmon facilitate;Supervisor Liaison;collaborative monitor Cambridgeshire;Gorgeous;Checking;auxiliary;Beauty Representative Pennsylvania;world-class Analyst functionalities;deposit;workforce Mayen;Money Steel Rupiah;content Dynamic Sleek;firmware Chicken customized
9;Generic;invoice;transmitting plug-and-play;Soft Granite;viral bus;withdrawal;compressing Fantastic;Arizona Officer;58249;Balanced Algeria;Customer value-added;Music Bacon;gold Stand-alone;web-readiness;Steel deposit;azure Unbranded;vertical Libyan;heuristic protocol RAM;Health;migration Planner firewall;syndicate;Tasty Senior;Colorado collaborative;protocol;Unbranded withdrawal calculating;Mouse;Awesome optical;Seamless Minnesota;Response Operations Generic;SAS Multi-tiered Kids;Unbranded Optimization Hong
10;connecting Intranet;National;architectures white initiatives;6th Tennessee;synergistic portals Account;Communications;Intelligent generate paradigms;wireless Communications;35332;convergence;database indexing loyalty;forecast Books indexing;synergies Pennsylvania;optical array;Lek connecting;invoice;Squares quantify Dynamic;analyzer Unbranded Buckinghamshire;Shoes;pink Soft;panel Springs Dakota;generate Configuration;foreground;multi-state matrix Lithuania;Integration Assurance implementation;Clothing Parkway Senior;card;Assistant Intelligent maximized;Account Health blue;Cheese Handmade card;Sports
